N°,Name,Birthdate,Height,Weight,Spike,Block,World championships,Olympic games,Other,Total,Club,Country
1,Bruno Mossa Rezende c,02/07/1986,190,76,323,302,7,2,20,29,Cucine Lube Civitanova,bra-brazil
2,Isac Santos,13/12/1990,208,99,339,306,0,0,8,8,Sada Cruzeiro Volei,bra-brazil
3,Eder Carbonera,19/10/1983,205,107,360,330,3,0,5,8,SESI-SP,bra-brazil
4,Thales Hoss,26/04/1989,190,74,320,303,0,0,0,0,Funvic Taubaté,bra-brazil
5,Lucas Eduardo Loh,18/01/1991,195,83,336,320,0,0,0,0,SESI-SP,bra-brazil
6,Fernando Gil Kreling,13/01/1996,185,85,319,301,0,0,0,0,Sada Cruzeiro Volei,bra-brazil
7,William Arjona,31/07/1979,186,78,300,295,0,1,0,1,SESI-SP,bra-brazil
8,Wallace De Souza,26/06/1987,198,87,344,318,14,1,37,52,SESC-RJ,bra-brazil
9,Yoandy Leal Hidalgo,31/08/1988,202,107,361,348,9,0,27,36,Cucine Lube Civitanova,bra-brazil
11,Rodrigo Leao,05/06/1996,197,85,331,316,0,0,0,0,Sada Cruzeiro Volei,bra-brazil
12,Raphael Vieira De Oliveira,14/06/1979,190,82,330,306,0,0,23,23,Funvic Taubaté,bra-brazil
13,Mauricio Luiz De Souza,29/09/1988,207,99,344,323,0,0,0,0,Taubaté Funvic,bra-brazil
14,Douglas Correia De Souza,20/08/1995,199,75,338,317,0,0,0,0,Funvic Taubaté,bra-brazil
15,Carlos Eduardo Barreto Silva,08/08/1994,200,90,348,340,8,0,0,8,Vibo Valentia,bra-brazil
16,Lucas Saatkamp,06/03/1986,209,101,340,321,16,0,37,53,Funvic Taubaté,bra-brazil
17,Evandro M. Guerra,27/12/1981,207,106,359,332,15,8,50,73,Sada Cruzeiro Volei,bra-brazil
18,Ricardo Lucarelli Souza,14/02/1992,196,87,348,326,0,0,0,0,Funvic Taubaté,bra-brazil
19,Mauricio Borges Almeida Silva,04/02/1989,199,99,335,315,0,0,0,0,SESC-RJ,bra-brazil
20,Thiago Pontes Veloso,15/08/1993,184,77,305,298,0,0,0,0,SESC-RJ,bra-brazil
21,Alan Souza,21/03/1994,202,98,336,320,0,0,0,0,SESI-SP,bra-brazil
22,Maique Reis Nascimento,16/07/1997,182,76,310,255,0,0,0,0,Minas Tenis Clube,bra-brazil
23,Flavio Gualberto,22/04/1993,199,84,356,329,0,0,8,8,Minas Tênis Clube,bra-brazil
24,Douglas Pureza,16/11/1996,178,70,302,273,0,0,0,0,Sesi/SP,bra-brazil
27,Henrique Dantas Nóbrega Honorato,18/03/1997,190,85,335,310,1,0,0,1,Minas Tênis Clube,bra-brazil
29,Rafael Araujo,13/06/1991,206,93,348,325,0,0,1,1,MKS Bedzin,bra-brazil
1,Georgi Bratoev,21/10/1987,203,98,340,325,5,6,30,41,Neftohimik,bul-bulgaria
2,Krasimir Georgiev,13/02/1995,205,95,346,333,0,0,9,9,Rennes,bul-bulgaria
3,Chono Penchev,11/12/1994,197,78,318,307,0,0,0,0,Pirin,bul-bulgaria
4,Martin Atanasov,27/09/1996,198,80,350,330,0,0,0,0,Chaumont,bul-bulgaria
5,Svetoslav Gotsev,31/08/1990,205,97,358,335,0,0,2,2,Dinamo Leningrad,bul-bulgaria
6,Rozalin Penchev,11/12/1994,197,79,337,327,0,0,0,0,SESK,bul-bulgaria
7,Nikolay Uchikov,13/04/1986,207,110,355,330,0,0,1,1,Neftohimik,bul-bulgaria
8,Todor Skrimov,09/01/1990,191,87,348,330,0,0,0,0,Vibo Valentia,bul-bulgaria
9,Georgi Seganov,10/06/1993,198,83,335,325,0,0,23,23,Maliye Milli Pyango,bul-bulgaria
10,Valentin Bratoev,21/10/1987,203,92,347,337,0,0,8,8,J-Teck,bul-bulgaria
11,Velizar Chernokozhev,23/04/1995,212,108,350,335,0,0,0,0,Diobrudzha 07,bul-bulgaria
12,Viktor Yosifov c,16/10/1985,204,100,350,340,0,0,16,16,Monza,bul-bulgaria
13,Teodor Salparov,16/08/1982,187,77,320,305,10,6,91,107,Neftochimik,bul-bulgaria
14,Teodor Todorov,01/09/1989,208,108,365,345,0,0,0,0,Neftohimik,bul-bulgaria
16,Vladislav Ivanov,14/03/1987,188,80,320,310,10,0,20,30,no team,bul-bulgaria
17,Nikolay Penchev,22/05/1992,197,87,341,335,0,0,0,0,ONIKO,bul-bulgaria
18,Nikolay Nikolov,29/07/1986,206,97,350,332,6,0,30,36,Sporting Lisboa,bul-bulgaria
19,Tsvetan Sokolov,31/12/1989,206,100,370,350,0,0,71,71,Cucine Lube Civitanova,bul-bulgaria
20,Aleks Grozdanov,28/03/1998,206,86,355,334,0,0,15,15,Maaseik Volley,bul-bulgaria
21,Petar Karakashev,11/02/1991,184,74,326,308,0,0,54,54,VC Hebar,bul-bulgaria
22,Vladimir Stankov,09/08/1996,186,80,325,320,0,0,0,0,CSKA,bul-bulgaria
23,Martin Ivanov,04/02/1992,190,78,320,310,0,0,0,0,Neftohimik,bul-bulgaria
25,Radoslav Parapunov,19/06/1997,205,87,346,327,0,0,18,18,Hawai University,bul-bulgaria
26,Plamen Shekerdzhiev,21/05/1998,198,83,345,328,0,0,20,20,CSKA Sofia,bul-bulgaria
30,Nikolay Kolev,16/12/1997,204,86,355,340,0,0,0,0,Cherno more BASK,bul-bulgaria
1,Tyler Sanders,14/12/1991,191,81,326,308,17,6,129,152,MKS Będzin,can-canada
2,John Gordon Perrin c,17/08/1989,201,95,353,329,19,6,164,189,Sada Cruzeiro,can-canada
3,Steven Marshall,23/11/1989,193,87,350,322,8,6,102,116,P.A.O.K. Thessaloniki,can-canada
4,Nicholas Hoag,19/08/1992,200,91,342,322,16,6,123,145,Asseco Resovia Rzeszów,can-canada
5,Deanan Gyimah,16/01/1998,199,75,372,339,0,0,6,6,Team Canada,can-canada
6,Justin Duff,10/05/1988,200,102,370,335,11,6,145,162,Galatasaray,can-canada
7,Stephen Timothy Maar,06/12/1994,201,103,350,328,8,0,71,79,Dynamo Moscow,can-canada
8,Jay Blankenau,27/09/1989,194,94,334,307,8,6,39,53,Arkas Izmir,can-canada
9,Jason Derocco,19/09/1989,198,94,342,318,0,0,103,103,Al Ahly Cairo,can-canada
10,Sharone Vernon-Evans,28/08/1998,202,94,374,347,8,0,48,56,Ravenna,can-canada
11,Daniel Jansen Vandoorn,21/03/1990,207,98,351,328,8,6,92,106,Knack Roeselare,can-canada
12,Lucas Van Berkel,29/11/1991,210,108,350,326,8,0,73,81,Galatasaray,can-canada
14,Eric Loeppky,01/08/1998,197,89,348,325,0,0,17,17,Team Canada,can-canada
15,Jeremy Alexander Davies,01/05/1994,172,72,299,283,0,0,0,0,Team Lakkapä,can-canada
16,Ryan Joseph Sclater,10/02/1994,200,92,347,320,8,0,34,42,Montpellier,can-canada
17,Graham Vigrass,17/06/1989,205,97,354,330,13,6,124,143,JASTRZEBSKI Wegiel,can-canada
19,Blair Cameron Bann,26/02/1988,184,84,314,295,8,6,123,137,SWD-Powervolleys Düren Germany,can-canada
20,Arthur Szwarc,30/03/1995,209,99,356,335,8,0,64,72,Top Volley Latina,can-canada
21,Brett James Walsh,19/02/1994,195,84,332,313,0,0,65,65,Knack Roeselare,can-canada
22,Blake Scheerhoorn,06/01/1995,202,90,359,342,0,0,19,19,SVG Luneburg,can-canada
23,Danny Demyanenko,13/07/1994,194,101,357,325,0,0,19,19,Toulouse,can-canada
24,Adam Schriemer,17/08/1995,200,89,350,328,0,0,0,0,SVG Lüneburg,can-canada
25,Brandon Koppers,09/09/1995,200,90,345,331,0,0,3,3,Tourcoing,can-canada
26,Derek Epp,15/06/1998,196,88,335,315,0,0,6,6,Team Canada,can-canada
27,Casey Adam Schouten,29/03/1994,194,95,341,311,0,0,8,8,Netzhoppers,can-canada
1,Qingyao Dai,26/09/1991,205,100,350,340,3,0,0,3,Shanghai,chn-china
2,Chuan Jiang,09/08/1994,205,91,365,345,0,0,40,40,Beijing,chn-china
3,Tianyi Mao,02/06/1993,200,90,350,340,0,0,20,20,Bayi,chn-china
4,Chengcheng Xiu,23/08/1999,197,70,365,348,0,0,0,0,Bayi,chn-china
5,Binglong Zhang,11/09/1994,197,99,355,345,0,0,20,20,Beijing,chn-china
6,Runming Li,01/03/1990,198,90,355,345,11,0,30,41,Shandong,chn-china
7,Jingyin Zhang,20/12/1999,207,88,357,325,0,0,15,15,Zhejiang,chn-china
8,Jingyi Wang,07/02/1998,202,87,360,350,0,0,10,10,Shandong,chn-china
9,Yaochen Yu,19/08/1995,195,89,347,338,0,0,15,15,Jiangsu,chn-china
10,Daoshuai Ji c,07/02/1992,194,82,355,335,9,0,40,49,Shandong,chn-china
11,Haixiang Du,25/05/1995,194,87,348,336,0,0,20,20,Sichuan,chn-china
12,Zhejia Zhang,31/08/1995,207,95,365,355,0,0,20,20,Shanghai,chn-china
13,Longhai Chen,29/03/1991,200,85,350,340,0,0,35,35,Shanghai,chn-china
15,Chuanhang Tang,04/10/1995,202,92,350,340,0,0,15,15,Bayi,chn-china
16,Jiahua Tong,13/12/1992,180,76,330,320,0,0,30,30,Shanghai,chn-china
17,Libin Liu,16/02/1995,197,90,350,342,0,0,20,20,Beijing,chn-china
18,Shunxiang Guo,03/11/1997,195,91,349,335,0,0,0,0,Sichuan,chn-china
19,Guojun Zhan,16/12/1988,197,85,350,340,0,0,20,20,Shanghai,chn-china
20,Shuhan Rao,23/12/1996,205,99,360,350,0,0,25,25,Fujian,chn-china
21,Ruantong Miao,21/05/1995,205,88,354,345,0,0,20,20,Hubei,chn-china
23,Shikun Peng,26/08/2000,208,90,340,330,0,0,0,0,Sichuan,chn-china
24,Zuyuan Zhang,04/05/1997,207,87,355,350,0,0,10,10,Shandong,chn-china
25,Jiajie Chen,17/09/1995,170,70,325,310,0,0,0,0,Guangdong,chn-china
27,Xiaoteng Ma,19/06/1991,180,75,330,320,0,0,10,10,Bayi,chn-china
28,Dangyi Yuan,30/11/1996,200,91,355,343,0,0,0,0,Bayi,chn-china
1,Jonas Aguenier,28/04/1992,202,92,340,310,13,0,67,80,Monini Spoleto (ITA),fra-france
2,Jenia Grebennikov,13/08/1990,188,85,345,300,21,5,237,263,Trentino Volley (ITA),fra-france
3,Luka Basic,29/01/1995,201,77,330,302,0,0,0,0,Revivre Axipower Milano (ITA),fra-france
4,Jean Patry,27/12/1996,207,94,357,334,8,0,58,66,Montpellier VUC (FRA),fra-france
5,Raphaël Corre,21/11/1989,196,85,335,315,0,0,15,15,AS CANNES (FRA),fra-france
6,Benjamin Toniutti c,30/10/1989,183,72,320,300,30,5,254,289,Zaksa Kędzierzyn-Koźle (POL),fra-france
7,Kevin Tillie,02/11/1990,200,85,345,325,21,5,177,203,MODENA VOLLEY PUNTO (ITA),fra-france
8,Julien Lyneel,15/04/1990,192,88,345,325,8,0,185,193,Jastrzębski Wiegel (POL),fra-france
9,Earvin Ngapeth,12/02/1991,194,96,358,327,30,5,210,245,Zenit Kazan (RUS),fra-france
10,Kevin Le Roux,11/05/1989,209,95,365,345,30,5,199,234,Sada Cruzeiro Volei (BRA),fra-france
11,Antoine Brizard,22/05/1994,196,96,340,310,8,0,69,77,AZS POLITECHNIKA WARSZAWSKA (P,fra-france
12,Stephen Boyer,10/04/1996,196,77,355,334,8,0,69,77,Calzedonia Verona (ITA),fra-france
13,Gildas Prevert,15/06/1996,204,90,350,330,0,0,0,0,RENNES EC (FRA),fra-france
14,Nicolas Le Goff,15/02/1992,206,114,365,345,21,5,178,204,SCC BERLIN (GER),fra-france
16,Daryl Bultor,17/11/1995,197,94,352,327,8,0,52,60,Arago de Sète (FRA),fra-france
17,Trevor Clevenot,28/06/1994,199,89,345,326,0,5,96,101,Revivre Axipower Milano (ITA),fra-france
18,Thibault Rossard,28/08/1993,194,85,350,320,8,5,98,111,Asseco Resovia Rzeszów (POL),fra-france
19,Yacine Louati,04/03/1992,198,92,345,320,0,0,17,17,Kioene Padova (ITA),fra-france
20,Nicolas Rossard,23/05/1990,183,64,315,305,13,0,54,67,SCC BERLIN (GER),fra-france
21,Barthélémy Chinenyeze,28/02/1998,201,81,357,332,8,0,70,78,Tours Volley-Ball (FRA),fra-france
22,Meliuahel Takaniko,29/05/1985,194,92,340,330,0,0,30,30,TOAC TUC (FRA),fra-france
23,Timothée Carle,30/11/1995,195,83,336,314,0,0,9,9,GFCA VOLLEY BALL (FRA),fra-france
25,Kévin Kaba,08/06/1994,203,98,335,315,0,0,0,0,Montpellier VUC (FRA),fra-france
26,Benjamin Diez,04/04/1998,183,80,320,305,0,0,0,0,Montpellier VUC (FRA),fra-france
1,Christian Fromm,15/08/1990,204,99,350,330,6,0,137,143,Jastrzębski Węgiel,ger-germany
2,Tobias Krick,22/10/1998,210,85,350,330,0,0,38,38,United Volleys Frankfurt,ger-germany
3,Ruben Schott,08/07/1994,193,89,326,309,0,0,58,58,Trefl Gdansk,ger-germany
4,Adam Kocian,01/04/1995,192,83,341,315,0,0,2,2,United Volleys Frankfurt,ger-germany
5,Moritz Reichert,15/03/1995,194,85,336,314,0,0,41,41,Berlin Recycling Volleys,ger-germany
6,Denys Kaliberda,24/06/1990,193,95,343,314,19,5,139,163,Azimut Leo Shoes Modena,ger-germany
7,David Sossenheimer,21/06/1996,193,85,325,313,0,0,18,18,VfB Friedrichshafen,ger-germany
8,Marcus Böhme,25/08/1985,212,114,360,330,21,8,241,270,Olympiakos Piräus,ger-germany
10,Julian Zenger,26/08/1997,190,80,330,315,0,0,44,44,United Volleys Frankfurt,ger-germany
11,Lukas Kampa c,29/11/1986,196,90,335,320,13,6,168,187,Jastrzebski Wegiel,ger-germany
12,Anton Brehme,10/08/1999,199,86,329,322,0,0,7,7,VCO Berlin/br volleys,ger-germany
13,Simon Hirsch,03/04/1992,204,96,352,344,0,0,72,72,Revivre Axopower Milano,ger-germany
14,Moritz Karlitzek,12/08/1996,191,91,335,310,0,0,8,8,United Volleys Frankfurt,ger-germany
15,Noah Baxpöhler,13/08/1993,210,85,345,325,0,0,10,10,SVG Lüneburg,ger-germany
16,Tomas Kocian-Falkenbach,27/03/1988,192,79,325,319,0,0,0,0,SWD powervolleys DÜREN,ger-germany
17,Jan Zimmermann,12/02/1993,191,82,340,312,0,0,90,90,Greenyard Maaseik,ger-germany
18,Jakob Günthör,21/09/1995,211,96,339,320,0,0,16,16,VfB Friedrichshafen,ger-germany
19,Daniel Malescha,28/04/1994,203,90,330,315,0,0,26,26,VfB Friedrichshafen,ger-germany
20,Linus Weber,01/11/1999,199,85,336,321,0,0,3,3,Berlin Recycling Volleys,ger-germany
21,Ivan Batanov,25/04/2000,182,78,325,305,0,0,0,0,VCO Berlin,ger-germany
22,Louis Kunstmann,10/09/2000,198,85,339,327,0,0,0,0,VCO Berlin/UV Frankfurt,ger-germany
23,Tim Peter,08/09/1997,193,81,325,310,0,0,0,0,WWK Volleys Herrsching,ger-germany
24,Christoph Marks,16/04/1997,202,84,330,315,0,0,0,0,Sieco Service Ortona,ger-germany
25,Lukas Maase,28/08/1998,208,95,340,320,0,0,0,0,SWD powervolleys Düren,ger-germany
1,Shahram Mahmoudi,20/07/1988,198,95,347,332,0,0,4,4,Khatam Ardakan,iri-iran
2,Milad Ebadipour Ghara H.,17/10/1993,196,78,350,310,3,1,6,10,PGE Skra Belchatow,iri-iran
4,Mir Saeid Marouflakrani c,20/10/1985,189,81,331,311,36,1,145,182,EMMA VILLAS SIENA,iri-iran
5,Farhad Ghaemi,28/08/1989,197,73,355,335,30,1,60,91,ZIRAAT BANK,iri-iran
6,Seyed Mohammad Mousavi Eraghi,22/08/1987,203,86,362,344,2,1,5,8,Olsztyn,iri-iran
7,Purya Fayazi D.,12/01/1993,195,92,335,325,0,0,21,21,Bedzin S.A.,iri-iran
8,Mohammadreza Hazratpourtalatappeh,31/03/1999,187,87,300,290,0,0,2,2,SHAHRDARI URMIA,iri-iran
9,Masoud Gholami,02/04/1990,204,93,349,331,0,0,0,0,SHAHRDARI VARAMIN,iri-iran
10,Amir Ghafour,06/06/1991,202,90,354,334,11,1,30,42,MONZA,iri-iran
11,Saber Kazemi,24/12/1998,205,87,340,325,0,0,0,0,ZIRAAT BANK,iri-iran
14,Mohammadjavad Manavinezhad,27/11/1995,198,94,340,320,0,0,70,70,VERONA,iri-iran
15,Aliasghar Mojarad,30/10/1997,205,90,330,310,1,0,4,5,SHAHRDARI VARAMIN,iri-iran
16,Ali Shafiei,21/09/1991,198,80,348,345,0,0,0,0,SHAHRDARI URMIA,iri-iran
17,Meisam Salehi,17/11/1998,198,89,345,330,0,0,1,1,KALLEH,iri-iran
18,Salim Cheperli,19/12/1996,201,80,340,330,0,0,0,0,Paykan,iri-iran
19,Mohammadreza Moazzen,20/09/1991,175,75,292,281,0,0,0,0,PAYKAN,iri-iran
20,Porya Yali,21/01/1999,209,81,335,320,0,0,1,1,PAYKAN,iri-iran
21,Morteza Sharifi,27/05/1999,193,83,340,320,0,0,2,2,BURSA,iri-iran
22,Amirhossein Esfandiar,24/01/1999,209,110,330,310,1,0,4,5,Paykan,iri-iran
23,Ali Ramezani,05/05/1998,200,103,330,310,1,0,4,5,kalleh Mazandaran,iri-iran
24,Javad Karimisouchelmaei,01/03/1998,204,104,330,310,1,0,4,5,PAYKAN,iri-iran
25,Amir Hossein Toukhteh,09/04/2001,203,79,360,330,0,0,2,2,Saipa,iri-iran
26,Amin Razavi,15/09/1990,193,85,294,285,0,0,3,3,SHAHRDARI VARAMIN,iri-iran
28,Mehran Feyzemamdoust,23/11/2001,205,77,350,325,0,0,0,0,Kaleh,iri-iran
29,Reza Abedini,19/05/1991,203,93,354,348,0,0,0,0,PAYKAN,iri-iran
1,Davide Candellaro,07/06/1989,200,88,340,320,10,0,20,30,Trentino Volley,ita-italy
2,Riccardo Sbertoli,23/05/1998,188,85,326,246,0,0,3,3,Power Volley,ita-italy
3,Luca Spirito,30/10/1993,196,79,338,262,0,0,11,11,BluVolley Verona ssd Srl,ita-italy
4,Davide Gardini,11/02/1999,205,94,330,310,0,0,0,0,volley lube,ita-italy
5,Fabrizio Gironi,18/03/2000,200,81,330,310,0,0,0,0,power volley,ita-italy
6,Simone Giannelli c,09/08/1996,198,92,350,330,10,8,68,86,Trentino Volley,ita-italy
7,Giacomo Raffaelli,07/02/1995,198,95,338,330,0,0,12,12,Porto Robur Costa,ita-italy
8,Daniele Mazzone,04/06/1992,208,88,315,309,10,0,14,24,Modena Volley,ita-italy
11,Fabio Balaso,20/10/1995,178,73,305,280,0,0,14,14,Cucine Lube Civitanova,ita-italy
12,Fabio Ricci,11/07/1994,204,96,348,272,0,0,14,14,Sir Safety Perugia scsd,ita-italy
13,Federico Bonami,29/09/1993,183,70,313,234,0,0,0,0,Argos Volley,ita-italy
14,Matteo Piano,24/10/1990,208,102,352,325,11,8,91,110,Power Volley,ita-italy
15,Roberto Russo,23/02/1997,207,91,340,320,0,0,15,15,Sir Safety Perugia,ita-italy
16,Oleg Antonov,28/07/1988,198,88,340,310,0,8,63,71,Galatasaray,ita-italy
17,Simone Anzani,24/02/1992,204,100,350,330,10,0,64,74,Lube Civitanova,ita-italy
18,Nicola Pesaresi,11/02/1991,190,80,315,309,0,0,29,29,Power Volley,ita-italy
19,Daniele Lavia,04/11/1999,200,89,345,316,0,0,11,11,Porto Robur costa,ita-italy
20,Gabriele Nelli,04/12/1993,210,100,355,320,10,0,31,41,Neww Energy Piacenza,ita-italy
21,Alberto Polo,07/09/1995,203,87,348,318,0,0,12,12,Pallavolo Padova,ita-italy
22,Oreste Cavuto,05/12/1996,196,87,353,344,0,0,15,15,Robur Ravenna,ita-italy
23,Andrea Argenta,01/06/1996,205,95,350,310,0,0,0,0,Porto Robur Costa,ita-italy
24,Giulio Pinali,02/04/1997,199,91,349,338,0,0,15,15,Modena volley,ita-italy
25,Diego Cantagalli,13/02/1999,201,89,348,310,0,0,0,0,Cucine Lube Civitanova,ita-italy
27,Marco Pierotti,19/06/1996,195,86,357,350,0,0,0,0,Modena Volley,ita-italy
28,Francesco Recine,07/02/1999,186,75,325,300,0,0,3,3,Porto Robur Costa,ita-italy
1,Issei Otake,03/12/1995,201,98,345,327,0,0,0,0,Panasonic Panthers,jpn-japan
2,Hideomi Fukatsu,01/06/1990,180,70,325,305,0,0,52,52,Panasonic Panthers,jpn-japan
3,Naonobu Fujii,05/01/1992,183,78,312,297,0,0,0,0,Toray Arrows,jpn-japan
4,Akihiro Fukatsu,23/07/1987,183,78,325,305,0,0,0,0,JT Thunders,jpn-japan
5,Tatsuya Fukuzawa,01/07/1986,189,88,355,330,5,5,110,120,Panasonic Panthers,jpn-japan
6,Akihiro Yamauchi,30/11/1993,204,80,353,335,0,0,52,52,Panasonic Panthers,jpn-japan
7,Takashi Dekita,13/08/1991,200,94,346,331,0,0,60,60,Sakai Blazers,jpn-japan
8,Masahiro Yanagida c,06/07/1992,186,79,328,301,0,0,40,40,United Volleys,jpn-japan
9,Satoshi Tsuiki,16/01/1992,174,74,303,290,0,0,23,23,Toray Arrows,jpn-japan
10,Taichiro Koga,04/10/1989,170,70,292,277,0,0,12,12,Wolfdogs Nagoya,jpn-japan
11,Yuji Nishida,30/01/2000,186,80,346,330,0,0,0,0,JTEKT Stings,jpn-japan
12,Masahiro Sekita,20/11/1993,175,72,311,295,0,0,0,0,Sakai Blazers,jpn-japan
13,Naoya Takano,30/04/1993,190,78,338,316,0,0,0,0,Sakai Blazers,jpn-japan
14,Yuki Ishikawa,11/12/1995,191,84,351,327,0,0,40,40,Kioene Padova,jpn-japan
15,Haku Ri,27/12/1990,193,82,344,330,0,0,23,23,Toray Arrows,jpn-japan
16,Kentaro Takahashi,08/02/1995,201,103,351,338,0,0,15,15,Toray Arrows,jpn-japan
17,Tsubasa Hisahara,18/03/1995,188,80,339,320,0,0,0,0,Panasonic Panthers,jpn-japan
18,Masashi Kuriyama,14/07/1988,190,85,350,335,0,0,12,12,Suntory Sunbirds,jpn-japan
19,Hiroaki Asano,06/10/1990,178,67,326,313,0,0,33,33,JTEKT Stings,jpn-japan
20,Taishi Onodera,27/02/1996,201,98,346,323,0,0,3,3,JT Thunders,jpn-japan
21,Kunihiro Shimizu,11/08/1986,193,97,330,320,5,5,136,146,Panasonic Panthers,jpn-japan
22,Tomohiro Yamamoto,05/11/1994,171,69,301,299,0,0,0,0,Sakai Blazers,jpn-japan
23,Yuki Higuchi,27/04/1996,191,79,345,320,0,0,0,0,Sakai Blazers,jpn-japan
24,Jin Tsuzuki,28/12/1998,194,85,345,320,0,0,0,0,Chuo University,jpn-japan
